,thumb_raw_signal,index_raw_signal,middle_raw_signal,thumb_normalized_signal,index_normalized_signal,middle_normalized_signal,thumb_label,index_label,middle_label
0,2.03e-07,1.14e-06,3.47e-06,-0.0010007977977977145,-0.0004996094141211938,0.0005037218609305061,0.0,0.0,0.0
1,1.94e-07,2.81e-06,8.73e-06,-0.0010008068068068088,-0.0004979369053579319,0.0005089844922461229,0.0,0.0,0.0
2,5.34e-07,5.77e-06,1.83e-05,-0.0010004664664664542,-0.0004949724586880144,0.0005185592796397298,0.0,0.0,0.0
3,9.79e-07,9.1e-06,2.96e-05,-0.0010000210210210358,-0.0004916374561841907,0.0005298649324660953,0.0,0.0,0.0
4,-5.35e-07,8.27e-06,2.78e-05,-0.0010015365365364515,-0.0004924687030545272,0.0005280640320159957,0.0,0.0,0.0
5,-2.91e-06,-5.91e-06,-1.48e-05,-0.0010039139139138564,-0.0005066700050074813,0.0004854427213607515,0.0,0.0,0.0
6,-8.34e-06,-4.92e-05,-0.000149,-0.0010093493493493755,-0.0005500250375563009,0.0003511755877938505,0.0,0.0,0.0
7,-1.95e-05,-0.000143,-0.000446,-0.0010205205205204848,-0.0006439659489233529,5.402701350676331e-05,0.0,0.0,0.0
8,-3.3e-05,-0.00031,-0.000981,-0.0010340340340340148,-0.0008112168252378815,-0.000481240620310186,0.0,0.0,0.0
9,-4.72e-05,-0.000572,-0.00183,-0.0010482482482482292,-0.0010736104156233717,-0.0013306653326663476,0.0,0.0,0.0
10,-5.32e-05,-0.00094,-0.00302,-0.0010542542542542055,-0.001442163244867345,-0.002521260630315214,0.0,0.0,0.0
11,-4.4e-05,-0.00141,-0.00456,-0.001045045045045101,-0.0019128693039559552,-0.004062031015507839,0.0,0.0,0.0
12,-6.67e-06,-0.00196,-0.00638,-0.0010076776776776208,-0.0024636955433148255,-0.0058829414707354255,0.0,0.0,0.0
13,6.3e-05,-0.00255,-0.00836,-0.0009379379379379493,-0.003054581872809159,-0.007863931965983118,0.0,0.0,0.0
14,0.00016,-0.00313,-0.0104,-0.0008408408408407952,-0.0036354531797695433,-0.009904952476238127,0.0,0.0,0.0
15,0.000266,-0.00365,-0.0122,-0.0007347347347347322,-0.004156234351527233,-0.011705852926463312,0.0,0.0,0.0
16,0.000351,-0.00409,-0.0138,-0.0006496496496496418,-0.004596895343014551,-0.013306653326663476,0.0,0.0,0.0
17,0.000371,-0.0044,-0.0151,-0.0006296296296296466,-0.004907361041562197,-0.014607303651825942,0.0,0.0,0.0
18,0.000285,-0.0046,-0.0161,-0.0007157157157157146,-0.005107661492238402,-0.015607803901951045,0.0,0.0,0.0
19,6.34e-05,-0.0047,-0.0168,-0.0009375375375374473,-0.005207811717576338,-0.01630815407703856,0.0,0.0,0.0
20,-0.000293,-0.00472,-0.0173,-0.0012942942942942848,-0.005227841762643903,-0.016808404202101057,0.0,0.0,0.0
21,-0.000758,-0.00469,-0.0177,-0.001759759759759838,-0.0051977966950425,-0.01720860430215121,0.0,0.0,0.0
