,thumb_raw_signal,index_raw_signal,middle_raw_signal,thumb_normalized_signal,index_normalized_signal,middle_normalized_signal,thumb_label,index_label,middle_label
0,9.84e-06,1.49e-05,6.07e-06,-0.001660345403899588,1.6573971079125727e-05,-0.0011068262806236406,0.0,0.0,0.0
1,1.89e-05,4e-05,1.88e-05,-0.0016502506963786967,4.449388209115668e-05,-0.0010926503340757954,0.0,0.0,0.0
2,3.39e-05,8.24e-05,4e-05,-0.0016335376044567251,9.165739710792487e-05,-0.0010690423162582618,0.0,0.0,0.0
3,6.71e-05,0.000134,7.03e-05,-0.0015965459610027821,0.0001490545050055747,-0.0010353006681514954,0.0,0.0,0.0
4,3.72e-05,0.000134,8.04e-05,-0.001629860724233989,0.0001490545050055747,-0.0010240534521158695,0.0,0.0,0.0
5,-5.64e-05,-5.31e-05,6.29e-06,-0.0017341504178272071,-5.9065628476129284e-05,-0.0011065812917595563,0.0,0.0,0.0
6,-0.000356,-0.000651,-0.000265,-0.002067966573816138,-0.0007241379310344298,-0.0014086859688196007,0.0,0.0,0.0
7,-0.00099,-0.00198,-0.000913,-0.0027743732590529424,-0.002202447163515031,-0.002130289532293994,0.0,0.0,0.0
8,-0.00209,-0.00442,-0.00215,-0.0040000000000000036,-0.004916573971078919,-0.0035077951002226992,0.0,0.0,0.0
9,-0.00382,-0.0083,-0.00419,-0.005927576601671314,-0.009232480533926557,-0.005779510022271728,0.0,0.0,0.0
10,-0.00622,-0.0139,-0.0072,-0.008601671309192094,-0.015461624026696374,-0.00913140311804006,0.0,0.0,0.0
11,-0.00928,-0.0211,-0.0112,-0.012011142061281177,-0.02347052280311457,-0.013585746102449892,0.0,0.0,0.0
12,-0.0129,-0.0297,-0.0162,-0.016044568245125346,-0.033036707452725245,-0.019153674832962153,0.0,0.0,0.0
13,-0.0167,-0.0393,-0.0217,-0.020278551532033395,-0.04371523915461628,-0.02527839643652563,0.0,0.0,0.0
14,-0.0206,-0.049,-0.0276,-0.024623955431754774,-0.05450500556173532,-0.03184855233853001,0.0,0.0,0.0
15,-0.0242,-0.0581,-0.0331,-0.028635097493036166,-0.06462736373748612,-0.0379732739420936,0.0,0.0,0.0
16,-0.0271,-0.0659,-0.038,-0.03186629526462392,-0.07330367074527244,-0.04342984409799555,0.0,0.0,0.0
17,-0.0293,-0.0719,-0.0418,-0.034317548746518045,-0.07997775305895438,-0.047661469933184764,0.0,0.0,0.0
18,-0.0305,-0.0759,-0.0443,-0.035654596100278435,-0.0844271412680756,-0.05044543429844095,0.0,0.0,0.0
19,-0.031,-0.0781,-0.0456,-0.03621169916434541,-0.08687430478309244,-0.05189309576837409,0.0,0.0,0.0
20,-0.0308,-0.0787,-0.0458,-0.035988857938718644,-0.08754171301446045,-0.052115812917594595,0.0,0.0,0.0
21,-0.03,-0.0781,-0.045,-0.03509749303621168,-0.08687430478309244,-0.051224944320712784,0.0,0.0,0.0
