,thumb_raw_signal,index_raw_signal,middle_raw_signal,thumb_normalized_signal,index_normalized_signal,middle_normalized_signal,thumb_label,index_label,middle_label
87,-0.00527,-0.000276,-0.00895,-0.004274274274274292,0.0007247247247246236,-0.008950000000000014,0.0,0.0,0.0
88,-0.00518,-0.000101,-0.00849,-0.004184184184184092,0.0008998998998999141,-0.008489999999999998,0.0,0.0,0.0
89,-0.00508,6.67e-05,-0.00804,-0.004084084084084005,0.0010677677677679576,-0.008040000000000047,0.0,0.0,0.0
90,-0.00497,0.000221,-0.00761,-0.003973973973974032,0.0012222222222222356,-0.007610000000000006,0.0,0.0,0.0
91,-0.00486,0.000358,-0.0072,-0.0038638638638638367,0.001359359359359491,-0.007199999999999984,0.0,0.0,0.0
92,-0.00475,0.000474,-0.00683,-0.0037537537537537524,0.0014754754754755517,-0.006830000000000003,0.0,0.0,0.0
93,-0.00465,0.000567,-0.00651,-0.0036536536536536657,0.0015685685685684625,-0.006510000000000016,0.0,0.0,0.0
94,-0.00454,0.000637,-0.00622,-0.0035435435435435814,0.0016386386386386675,-0.006220000000000003,0.0,0.0,0.0
95,-0.00445,0.000681,-0.00599,-0.003453453453453381,0.001682682682682568,-0.005990000000000051,0.0,0.0,0.0
96,-0.00435,0.0007,-0.0058,-0.0033533533533532944,0.0017017017017015856,-0.005800000000000027,0.0,0.0,0.0
97,-0.00426,0.000698,-0.00564,-0.0032632632632633163,0.0016996996996998526,-0.005639999999999978,0.0,0.0,0.0
98,-0.00416,0.000678,-0.00551,-0.0031631631631632295,0.0016796796796796354,-0.005510000000000015,0.0,0.0,0.0
99,-0.00405,0.000647,-0.00538,-0.003053053053053034,0.0016486486486486651,-0.005380000000000051,0.0,0.0,0.0
100,-0.00391,0.000613,-0.00524,-0.002912912912912846,0.0016146146146145401,-0.005240000000000022,0.0,0.0,0.0
101,-0.00375,0.000582,-0.00509,-0.002752752752752774,0.0015835835835835699,-0.005090000000000039,0.0,0.0,0.0
102,-0.00357,0.000559,-0.00491,-0.0025725725725724846,0.001560560560560642,-0.00490999999999997,0.0,0.0,0.0
103,-0.00338,0.000543,-0.00473,-0.0023823823823824197,0.0015445445445445571,-0.004730000000000012,0.0,0.0,0.0
104,-0.00322,0.000533,-0.00456,-0.0022222222222222365,0.0015345345345343375,-0.0045600000000000085,0.0,0.0,0.0
105,-0.0031,0.000523,-0.00443,-0.0021021021021020436,0.001524524524524562,-0.004430000000000045,0.0,0.0,0.0
106,-0.00304,0.000509,-0.00435,-0.002042042042042058,0.0015105105105106542,-0.004349999999999965,0.0,0.0,0.0
107,-0.00307,0.000488,-0.00433,-0.002072072072072051,0.0014894894894894595,-0.004329999999999945,0.0,0.0,0.0
108,-0.00317,0.000462,-0.00436,-0.0021721721721721376,0.001463463463463377,-0.0043600000000000305,0.0,0.0,0.0
109,-0.00333,0.000435,-0.00442,-0.002332332332332432,0.001436436436436317,-0.0044199999999999795,0.0,0.0,0.0
110,-0.00352,0.000414,-0.00448,-0.0025225225225224968,0.0014154154154153442,-0.0044800000000000395,0.0,0.0,0.0
111,-0.0037,0.000406,-0.00451,-0.002702702702702786,0.0014074074074073017,-0.004510000000000014,0.0,0.0,0.0
112,-0.00384,0.000413,-0.00447,-0.002842842842842752,0.0014144144144143667,-0.004469999999999974,0.0,0.0,0.0
113,-0.00395,0.000433,-0.00439,-0.0029529529529529475,0.0014344344344343618,-0.004390000000000005,0.0,0.0,0.0
114,-0.00403,0.00046,-0.00428,-0.003033033033033039,0.0014614614614614219,-0.0042799999999999505,0.0,0.0,0.0
115,-0.00413,0.000485,-0.00419,-0.003133133133133126,0.0014864864864865268,-0.004190000000000027,0.0,0.0,0.0
116,-0.00429,0.0005,-0.00416,-0.003293293293293309,0.0015015015015014122,-0.0041600000000000525,0.0,0.0,0.0
117,-0.00453,0.0005,-0.00423,-0.003533533533533584,0.0015015015015014122,-0.004229999999999956,0.0,0.0,0.0
118,-0.00486,0.000487,-0.00442,-0.0038638638638638367,0.001488488488488482,-0.0044199999999999795,0.0,0.0,0.0
119,-0.00528,0.000469,-0.00471,-0.00428428428428429,0.0014704704704704419,-0.004709999999999992,0.0,0.0,0.0
120,-0.00572,0.000456,-0.00505,-0.004724724724724627,0.0014574574574575117,-0.005049999999999999,0.0,0.0,0.0
121,-0.00614,0.000459,-0.00538,-0.005145145145145191,0.0014604604604604443,-0.005380000000000051,0.0,0.0,0.0
122,-0.00646,0.000486,-0.00564,-0.005465465465465447,0.0014874874874875044,-0.005639999999999978,0.0,0.0,0.0
123,-0.00666,0.000537,-0.00579,-0.00566566566566562,0.0015385385385384698,-0.005789999999999962,0.0,0.0,0.0
124,-0.00672,0.000606,-0.00582,-0.005725725725725717,0.0016076076076076973,-0.005820000000000047,0.0,0.0,0.0
125,-0.00665,0.000682,-0.00574,-0.005655655655655734,0.0016836836836837676,-0.005739999999999967,0.0,0.0,0.0
126,-0.00648,0.000751,-0.00557,-0.005485485485485553,0.001752752752752773,-0.005569999999999964,0.0,0.0,0.0
127,-0.00626,0.000803,-0.00536,-0.005265265265265273,0.001804804804804938,-0.005360000000000031,0.0,0.0,0.0
128,-0.006,0.000829,-0.00512,-0.005005005005005003,0.0018308308308307986,-0.005120000000000013,0.0,0.0,0.0
129,-0.00574,0.00083,-0.00487,-0.004744744744744733,0.0018318318318319982,-0.004870000000000041,0.0,0.0,0.0
130,-0.00548,0.000811,-0.00463,-0.004484484484484574,0.0018128128128127585,-0.004630000000000023,0.0,0.0,0.0
131,-0.00521,0.000781,-0.00439,-0.004214214214214307,0.0017827827827827658,-0.004390000000000005,0.0,0.0,0.0
132,-0.00495,0.000749,-0.00415,-0.003953953953953926,0.001750750750750818,-0.004149999999999987,0.0,0.0,0.0
133,-0.00471,0.000724,-0.00393,-0.003713713713713651,0.001725725725725713,-0.003929999999999989,0.0,0.0,0.0
