,thumb_raw_signal,index_raw_signal,middle_raw_signal,thumb_normalized_signal,index_normalized_signal,middle_normalized_signal,thumb_label,index_label,middle_label
0,1.34e-06,-2.14e-07,5.5e-07,0.001003346693386753,-0.002004222444889847,5.505505504821429e-07,0.0,0.0,0.0
1,2.08e-06,-6.01e-07,5.98e-07,0.0010040881763526688,-0.00200461022044085,5.985985984668929e-07,0.0,0.0,0.0
2,5.23e-06,-1.19e-06,1.82e-06,0.001007244488977932,-0.0020052004008015434,1.8218218218457594e-06,0.0,0.0,0.0
3,6.72e-06,-1.88e-06,2.02e-06,0.0010087374749498945,-0.0020058917835671375,2.02202202204127e-06,0.0,0.0,0.0
4,5.09e-06,-1.86e-06,1.29e-06,0.0010071042084167647,-0.0020058717434869866,1.2912912912277363e-06,0.0,0.0,0.0
5,-8.5e-06,1.11e-06,-3.77e-06,0.0009934869739478547,-0.0020028957915831924,-3.773773773696476e-06,0.0,0.0,0.0
6,-4.76e-05,9.87e-06,-1.77e-05,0.000954308617234334,-0.001994118236472997,-1.7717717717746773e-05,0.0,0.0,0.0
7,-0.000125,2.92e-05,-4.36e-05,0.0008767535070139942,-0.0019747494989980074,-4.364364364373152e-05,0.0,0.0,0.0
8,-0.000263,6.4e-05,-9e-05,0.0007384769539078295,-0.0019398797595190365,-9.009009009008917e-05,0.0,0.0,0.0
9,-0.000473,0.000118,-0.000158,0.0005280561122245064,-0.0018857715430862232,-0.00015815815815811707,0.0,0.0,0.0
10,-0.000763,0.000195,-0.000249,0.00023747494989989626,-0.0018086172344690121,-0.0002492492492492948,0.0,0.0,0.0
11,-0.00113,0.000294,-0.000358,-0.000130260521042036,-0.0017094188376752806,-0.00035835835835829055,0.0,0.0,0.0
12,-0.00155,0.00041,-0.000476,-0.0005511022044089042,-0.0015931863727455253,-0.00047647647647652835,0.0,0.0,0.0
13,-0.00201,0.000534,-0.000591,-0.001012024048096194,-0.0014689378757514193,-0.0005915915915916115,0.0,0.0,0.0
14,-0.00245,0.000656,-0.000686,-0.001452905811623162,-0.001346693386773512,-0.0006866866866866994,0.0,0.0,0.0
15,-0.00285,0.000765,-0.000754,-0.0018537074148297084,-0.0012374749498997861,-0.0007547547547548383,0.0,0.0,0.0
16,-0.0032,0.000852,-0.000789,-0.002204408817635284,-0.0011503006012024697,-0.0007897897897898298,0.0,0.0,0.0
17,-0.00346,0.000911,-0.000793,-0.002464929859719467,-0.0010911823647294927,-0.0007937937937938511,0.0,0.0,0.0
18,-0.00365,0.000942,-0.000774,-0.002655310621242579,-0.0010601202404809662,-0.0007747747747748335,0.0,0.0,0.0
19,-0.00377,0.000949,-0.00074,-0.00277555110220451,-0.0010531062124248258,-0.0007407407407407085,0.0,0.0,0.0
20,-0.00384,0.00094,-0.0007,-0.0028456913827654695,-0.0010621242484969429,-0.0007007007007007182,0.0,0.0,0.0
21,-0.00389,0.000924,-0.000657,-0.0028957915831663295,-0.0010781563126252003,-0.0006576576576576842,0.0,0.0,0.0
22,-0.00391,0.000907,-0.000609,-0.0029158316633266512,-0.001095190380761557,-0.0006096096096095405,0.0,0.0,0.0
23,-0.00392,0.000894,-0.000553,-0.0029258517034068676,-0.0011082164328657385,-0.0005535535535535763,0.0,0.0,0.0
24,-0.00392,0.000886,-0.000484,-0.0029258517034068676,-0.0011162324649297561,-0.0004844844844845708,0.0,0.0,0.0
25,-0.00392,0.00088,-0.000407,-0.0029258517034068676,-0.0011222444889780192,-0.0004074074074074119,0.0,0.0,0.0
26,-0.00393,0.00087,-0.000334,-0.002935871743486973,-0.0011322645290581246,-0.0003343343343342742,0.0,0.0,0.0
27,-0.00396,0.00085,-0.000281,-0.0029659318637274,-0.0011523046092184464,-0.00028128128128124263,0.0,0.0,0.0
28,-0.00403,0.000815,-0.000269,-0.003036072144288582,-0.0011873747494990372,-0.00026926926926917893,0.0,0.0,0.0
29,-0.00416,0.000762,-0.000314,-0.003166332665330729,-0.0012404809619238621,-0.00031431431431439005,0.0,0.0,0.0
30,-0.00434,0.000692,-0.00042,-0.003346693386773514,-0.0013106212424849328,-0.0004204204204203421,0.0,0.0,0.0
31,-0.00457,0.000607,-0.000579,-0.0035771543086171587,-0.0013957915831662726,-0.0005795795795795478,0.0,0.0,0.0
32,-0.00483,0.000512,-0.000765,-0.0038376753507014527,-0.0014909819639279398,-0.0007657657657658135,0.0,0.0,0.0
