,thumb_raw_signal,index_raw_signal,middle_raw_signal,thumb_normalized_signal,index_normalized_signal,middle_normalized_signal,thumb_label,index_label,middle_label
0,-3.15e-06,1.2e-05,4.12e-06,0.02221863247863265,1.336302895316166e-05,-0.0011089977728284683,0.0,0.0,0.0
1,6e-06,3.21e-05,1.16e-05,0.02222905982905976,3.5746102449829564e-05,-0.0011006681514477146,0.0,0.0,0.0
2,1.11e-05,6.64e-05,2.37e-05,0.022234871794871935,7.394209354116832e-05,-0.0010871937639198581,0.0,0.0,0.0
3,3e-05,0.000109,4.05e-05,0.02225641025641023,0.00012138084632518087,-0.001068485523385343,0.0,0.0,0.0
4,6.15e-05,0.000108,4.16e-05,0.022292307692307833,0.00012026726057912107,-0.0010672605790645884,0.0,0.0,0.0
5,7.44e-05,-4.04e-05,-8.09e-06,0.022307008547008733,-4.498886414261438e-05,-0.001122594654788478,0.0,0.0,0.0
6,4.64e-05,-0.000521,-0.000177,0.022275099715099778,-0.000580178173719359,-0.0013106904231625638,0.0,0.0,0.0
7,-0.000134,-0.0016,-0.000563,0.02206951566951587,-0.0017817371937639548,-0.001740534521158077,0.0,0.0,0.0
8,-0.000567,-0.00356,-0.00128,0.021576068376068402,-0.003964365256124758,-0.002538975501113483,0.0,0.0,0.0
9,-0.0014,-0.0067,-0.00244,0.020626780626780805,-0.007461024498886415,-0.003830734966592475,0.0,0.0,0.0
10,-0.0028,-0.0112,-0.00413,0.019031339031339023,-0.012472160356347461,-0.005712694877505586,0.0,0.0,0.0
11,-0.00486,-0.0171,-0.00637,0.016683760683760873,-0.019042316258351843,-0.008207126948775012,0.0,0.0,0.0
12,-0.00763,-0.0241,-0.00911,0.013527065527065618,-0.026837416481069076,-0.011258351893095764,0.0,0.0,0.0
13,-0.0111,-0.0319,-0.0122,0.009572649572649583,-0.03552338530066823,-0.014699331848552322,0.0,0.0,0.0
14,-0.015,-0.0399,-0.0155,0.00512820512820511,-0.04443207126948778,-0.01837416481069043,0.0,0.0,0.0
15,-0.0193,-0.0475,-0.0187,0.00022792022792028632,-0.05289532293986632,-0.02193763919821834,0.0,0.0,0.0
